iter	Logloss
0	0.6534051283
1	0.6028123152
2	0.5699684963
3	0.537247842
4	0.4976517863
5	0.4579371286
6	0.4172395857
7	0.3921885071
8	0.3576467505
9	0.3393201075
10	0.3125759811
11	0.2933407603
12	0.2874629949
13	0.268768807
14	0.25537058
15	0.2427408502
16	0.2341472595
17	0.2226572212
18	0.2121673307
19	0.2050484669
20	0.1985136381
21	0.1902639823
22	0.1856739201
23	0.1824047625
24	0.1742023556
25	0.1724882309
26	0.1696305455
27	0.1656877046
28	0.1630674754
29	0.1570967448
30	0.1555894882
31	0.1526324836
32	0.1504220397
33	0.1478345687
34	0.145506195
35	0.1426733343
36	0.1389379154
37	0.1380369685
38	0.1369919254
39	0.1352322187
40	0.1329612366
41	0.1310780738
42	0.1303537158
43	0.1297408795
44	0.1286130445
45	0.1273382977
46	0.1269351155
47	0.1254801384
48	0.1252245111
49	0.1235032551
50	0.121068353
51	0.1203920518
52	0.1194561424
53	0.1185391665
54	0.1176252696
55	0.1158617057
56	0.1148143154
57	0.1137146982
58	0.1132971715
59	0.1120997115
60	0.1116851859
61	0.1101040199
62	0.1083704535
63	0.1081109404
64	0.1072455014
65	0.1065808744
66	0.1063608761
67	0.1053331782
68	0.1048773781
69	0.1044722978
70	0.1043455606
71	0.103777793
72	0.103185366
73	0.1027802279
74	0.1021238654
75	0.102042099
76	0.100781557
77	0.1001097669
78	0.09970054301
79	0.09896035959
80	0.09760079077
81	0.09672801757
82	0.09618952141
83	0.09602283335
84	0.0958375951
85	0.09519236188
86	0.09492339908
87	0.09375716752
88	0.09312231217
89	0.09275931464
90	0.09259954538
91	0.09208057625
92	0.09205814092
93	0.09186486877
94	0.09121399213
95	0.09099405336
96	0.09094899097
97	0.09070131714
98	0.08971961786
99	0.08968501168
100	0.0892425418
101	0.08922474155
102	0.08891581456
103	0.08865101517
104	0.08794021923
105	0.08759143451
106	0.08728646269
107	0.08668136641
108	0.08562625027
109	0.08553512469
110	0.08469677661
111	0.08402358029
112	0.08377070661
113	0.08364268898
114	0.08362390967
115	0.08356346414
116	0.08355316535
117	0.0832254485
118	0.08243333544
119	0.08201411757
120	0.08114309946
121	0.08082225586
122	0.07997079105
123	0.07985569304
124	0.07984337441
125	0.07912332695
126	0.07810052799
127	0.07737736057
128	0.07728533753
129	0.07651459675
130	0.07636907257
131	0.07628752764
132	0.07618311952
133	0.07607679666
134	0.07571391319
135	0.07564008119
136	0.07502341707
137	0.07455121078
138	0.07454393702
139	0.07436259696
140	0.07374923079
141	0.07330110339
142	0.07310555311
143	0.07235574995
144	0.07235190264
145	0.07174420934
146	0.07173812927
147	0.07093289787
148	0.07028369178
149	0.0694405336
150	0.06939008995
151	0.06921717937
152	0.06921676078
153	0.06921498375
154	0.06906148904
155	0.06876878173
156	0.06876738497
157	0.06866505863
158	0.06822146434
159	0.06822145284
160	0.06817619511
161	0.06777645805
162	0.0677763539
163	0.06777633161
164	0.06748414709
165	0.06747058508
166	0.06747055153
167	0.06728577554
168	0.06728534127
169	0.06728430165
170	0.0672521595
171	0.06671302596
172	0.06659312876
173	0.06634985984
174	0.0660933379
175	0.06588789634
176	0.06535407228
177	0.06535404323
178	0.06535404281
179	0.06486382249
180	0.06466697004
181	0.06450379722
182	0.06444986493
183	0.06444983614
184	0.06444180808
185	0.06404426375
186	0.06380345744
187	0.06326095428
188	0.06308031424
189	0.06304352553
190	0.06269161621
191	0.06227138873
192	0.06188100056
193	0.06176575519
194	0.06142365356
195	0.06136011787
196	0.06104598331
197	0.06104583378
198	0.06085161264
199	0.06082055496
